package,R1,R2,R3,R4,R5,R6,R7,R8,UF10,UF1,UF2,UF3,UF4,UF5,UF6,UF7,UF8,UF9,OF1,OF2,OF3,OF4,OF5,OF6,OF7,OF8,OF9,OF10,OF11,OF12,OF13,OF14,OF15,OF16,OF17,OF18,OF19,OF20,OF21,OF22,OF23,OF24,OF25,OF26,OF27,BF1,BF2,BF3,BF4,BF5,BF6,BF7,BF8,BF9,BF10,BF11,BF12,malicious,obfuskated
2024-06-07-test-pkg-x5-v3.2.3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7749630359783144,0.2657543227075309,15,13,1981,734,3243,1056,3.5697674418604652,3.273130808301156,14797,290,28,109,40,6,1,5,51,93,3,4,8,64,0,6,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-05-30-react-zutils-v1.0.1,0,2,1,2,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0.9288860288860289,0.5586194133432035,41,87,3127,1667,6037,1161,7.862190812720848,2.912271318265321,7286,908,276,167,135,0,3,46,58,104,28,27,3,19,0,1,31,0,0,1,0,0,0,1,0,0,0,0,1,1,0
2024-05-30-hello-1st-anni-v4.4.30,0,1,0,2,0,0,0,0,0,4.233639952626228,33,15.151515151515152,75.75757575757575,6.0606060606060606,36.36363636363637,9.090909090909092,0,1,0.950294152959539,0.6672897196261682,0,10,310,179,714,138,7.351851851851852,3.181721691475197,2112,118,56,25,13,1,0,0,8,15,1,1,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,1,0
2024-04-17-@mosfe_beam-lint-config-v1.0.5,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9991803278688525,1.0,1,5,154,1,19,167,8.545454545454545,3.0283076266639704,2437,1,0,3,1,1,0,0,6,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-05-30-hello-1st-anni-v4.4.31,0,1,0,2,0,0,0,0,0,4.233639952626228,33,15.151515151515152,75.75757575757575,6.0606060606060606,36.36363636363637,9.090909090909092,0,1,0.950294152959539,0.6672897196261682,0,10,310,179,714,138,7.351851851851852,3.181721691475197,2112,118,56,25,13,1,0,0,8,15,1,1,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,1,0
2024-04-17-@mosfe_portal-proxy-v1.1.7,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9991803278688525,1.0,1,5,154,1,19,167,8.545454545454545,3.0283076266639704,2437,1,0,3,1,1,0,0,6,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-06-07-@atticuss-sra_test-pkg-x4-v3.2.3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7749630359783144,0.2657543227075309,15,13,1981,734,3243,1056,3.5697674418604652,3.273130808301156,14797,290,28,109,40,6,1,5,51,93,3,4,8,64,0,6,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-05-30-flexfone-reseller-v100.0.5,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9729411764705882,0.7659574468085106,0,0,27,36,72,0,4.714285714285714,2.38340312092944,71,18,12,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-04-17-@mosfe_s3plus-v0.1.7,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9991803278688525,1.0,1,5,154,1,19,167,8.545454545454545,3.0283076266639704,2437,1,0,3,1,1,0,0,6,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-05-30-flexfone-reseller-v100.0.3,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.9720194647201946,0.7659574468085106,0,0,27,36,72,0,4.714285714285714,2.38340312092944,71,18,12,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-04-17-@mosfe_beam-plugin-s3plus-v0.1.16,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9991803278688525,1.0,1,5,154,1,19,167,8.545454545454545,3.0283076266639704,2437,1,0,3,1,1,0,0,6,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-05-30-flexfone-reseller-v100.0.4,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.9720194647201946,0.7659574468085106,0,0,27,36,72,0,4.714285714285714,2.38340312092944,71,18,12,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-04-17-@mosfe_beam-git-util-v1.0.0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9991803278688525,1.0,1,5,154,1,19,167,8.545454545454545,3.0283076266639704,2437,1,0,3,1,1,0,0,6,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-06-07-@atticuss-sra_test-pkg-x4-v3.2.2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.785679081884109,0.26641558866874077,15,13,1995,734,3254,1172,3.7288135593220337,3.26221775832022,16826,290,28,108,41,6,1,5,51,92,3,4,8,65,0,6,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-06-07-test-pkg-x5-v3.2.2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.785679081884109,0.26641558866874077,15,13,1995,734,3254,1172,3.7288135593220337,3.26221775832022,16826,290,28,108,41,6,1,5,51,92,3,4,8,65,0,6,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-04-17-@mosfe_owl-config-v1.0.8,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9991803278688525,1.0,1,5,154,1,19,167,8.545454545454545,3.0283076266639704,2437,1,0,3,1,1,0,0,6,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-05-29-hello-1st-anni-v4.4.25,0,1,0,2,0,0,0,0,0,4.233639952626228,33,15.151515151515152,75.75757575757575,6.0606060606060606,36.36363636363637,9.090909090909092,0,1,0.9424702168821912,0.6413502109704642,0,10,373,223,912,138,7.491525423728813,3.1740411132109854,2112,145,67,26,16,1,0,0,11,17,1,1,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-04-17-@mosfe_beam-v2.0.0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9991803278688525,1.0,1,5,154,1,19,167,8.545454545454545,3.0283076266639704,2437,1,0,3,1,1,0,0,6,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-05-05-avx-web-build-v1000.0.1,0,1,0,1,0,0,0,0,1,-0.0,1,0.0,100.0,0.0,0.0,0.0,0,1,0.9235436893203883,0.5672413793103448,0,2,112,121,329,0,8.655172413793103,2.742880733192463,119,54,21,6,2,0,0,0,4,3,10,8,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2024-04-17-@mosfe_sso-sdk-v0.0.6,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9991803278688525,1.0,1,5,154,1,19,167,8.545454545454545,3.0283076266639704,2437,1,0,3,1,1,0,0,6,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-05-03-@sxmp_detector-v0.100.4,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9974874371859297,1.0,0,0,18,13,27,0,0,0,205,3,3,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
glob,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.8420548530306364,0.41387841375831674,398,140,6341,4158,17231,0,7.343406593406593,2.909191399850296,315,2372,484,458,244,6,0,82,85,229,32,0,32,102,0,20,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
axios,0,2,1,1,1,0,1,1,0,-0.0,3,0.0,100.0,66.66666666666667,66.66666666666667,0.0,0,1,0.9162669670894164,0.5393386269003583,443,684,23733,11656,44558,26,6.825671370050069,2.9147585545304735,52208,6440,2170,1388,1125,57,25,267,1586,1769,153,96,269,486,85,17,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vue,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.8748388782959412,0.4013848026338832,730,2348,116850,55874,183359,24,6.834974736661814,2.925734863733306,144797,26453,6492,9351,3557,160,102,830,3680,5303,204,96,66,1366,319,136,2519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semver,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0.8974558708975735,0.5539476341118664,37,166,4125,1981,8230,2,5.952868852459017,2.8622386423519313,91,1187,133,405,47,6,6,59,37,191,9,8,24,62,9,4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
express,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.9377817461181646,0.7037452079032733,70,113,5061,3463,11932,10,5.348697394789579,2.930475011482789,185,1764,409,275,128,6,6,41,260,264,16,9,21,47,6,5,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0
js-yaml,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.8948997336999185,0.5143969877071874,510,432,21817,6193,27869,569,7.345895020188426,2.9890794199072572,25978,3874,891,1042,302,79,12,136,467,630,17,8,172,211,3,25,296,0,0,0,0,0,0,0,0,1,0,0,0,0,0
minimatch,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.776952807820975,0.3458511955796894,411,530,9974,3770,18152,4,6.529566360052563,2.889137658791405,221,2295,453,500,128,36,0,84,6,276,8,2,18,54,0,58,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lodash,0,2,0,1,0,0,1,2,1,1.9219280948873625,5,40.0,60.0,0.0,20.0,0.0,0,1,0.9260470417750132,0.6320548269284796,1320,2044,80749,40619,170986,906,7.019335511982571,2.956938588387221,4143,22838,2493,2295,1660,390,26,402,4916,5912,82,18,60,901,91,18,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
debug,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9936011990545915,0.9982142857142857,18,28,967,713,1677,3,5.871794871794871,2.9617562920909233,157,285,52,49,41,0,0,10,32,50,6,5,1,8,2,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tslib,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.9254759838701444,0.6340279521298854,4,55,2751,1353,7576,0,4.621513944223108,2.904326376824118,210,736,128,179,88,6,2,10,289,137,29,14,75,61,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ajv,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0.9030665967643084,0.5086787782480481,122,286,22748,17939,66583,58,7.8125,3.0104570141999076,451,11166,2379,1810,835,26,12,57,1062,1142,59,55,227,447,66,18,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-07-test-pkg-x5-v3.2.3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7749630359783144,0.2657543227075309,15,13,1981,734,3243,1056,3.5697674418604652,3.273130808301156,14797,290,28,109,40,6,1,5,51,93,3,4,8,64,0,6,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-05-30-react-zutils-v1.0.1,0,2,1,2,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0.9288860288860289,0.5586194133432035,41,87,3127,1667,6037,1161,7.862190812720848,2.912271318265321,7286,908,276,167,135,0,3,46,58,104,28,27,3,19,0,1,31,0,0,1,0,0,0,1,0,0,0,0,1,1,0
2024-05-30-hello-1st-anni-v4.4.30,0,1,0,2,0,0,0,0,0,4.233639952626228,33,15.151515151515152,75.75757575757575,6.0606060606060606,36.36363636363637,9.090909090909092,0,1,0.950294152959539,0.6672897196261682,0,10,310,179,714,138,7.351851851851852,3.181721691475197,2112,118,56,25,13,1,0,0,8,15,1,1,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,1,0
2024-04-17-@mosfe_beam-lint-config-v1.0.5,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9991803278688525,1.0,1,5,154,1,19,167,8.545454545454545,3.0283076266639704,2437,1,0,3,1,1,0,0,6,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-05-30-hello-1st-anni-v4.4.31,0,1,0,2,0,0,0,0,0,4.233639952626228,33,15.151515151515152,75.75757575757575,6.0606060606060606,36.36363636363637,9.090909090909092,0,1,0.950294152959539,0.6672897196261682,0,10,310,179,714,138,7.351851851851852,3.181721691475197,2112,118,56,25,13,1,0,0,8,15,1,1,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,1,0
